Month,Coutn_of_group,Course cost,Start_Number_of_students,Planned_clients,Planned_revenue,Mean_expenses_per_ group,Actual_expenses,Projected_profit,Lost_clients,Actual_revenue,Actual_profit
2023-08,14,1520,10,140,1915200,4206,58884,1856316,68,984960,926076
2023-09,28,1495,10,280,3767400,4255,119140,3648260,111,2273895,2154755
2023-10,35,1474,10,350,4643100,4380,153300,4489800,115,3117510,2964210
2023-11,35,1504,10,350,4737600,4390,153650,4583950,160,2571840,2418190
2023-12,35,1506,10,350,4743900,4375,153125,4590775,151,2697246,2544121
2024-01,35,1530,10,350,4819500,5011,175385,4644115,148,2781540,2606155
2024-02,35,1425,10,350,4488750,5102,178570,4310180,162,2411100,2232530
2024-03,37,1492,10,370,4968360,5100,188700,4779660,120,3357000,3168300
2024-04,37,1537,10,370,5118210,4965,183705,4934505,155,2974095,2790390
2024-05,37,1486,10,370,4948380,4765,176305,4772075,162,2781792,2605487
2024-06,20,1423,10,200,2561400,4500,90000,2471400,55,1857015,1767015
2024-07,10,1475,10,100,1327500,4020,40200,1287300,35,862875,822675
