Month,Coutn_of_group,Course cost,Start_Number_of_students,Planned_clients,Planned_revenue,Mean_expenses_per_ group,Actual_expenses,Projected_profit,Lost_clients,Actual_revenue,Actual_profit,Avg_bonus_growth_coef,Std_bonus_growth_coef,Expenses_Bonus_v1,Lost_clients_Bonus_v1,Profit_Bonus_v1,Grow_expenses,Grow_profit
2023-08,14,1520,10,140,1915200,4206,58884,1856316,68,984960,926076,1.13,0.2,66538.92,27.53,1472050.68,1.13,1.59
2023-09,28,1495,10,280,3767400,4255,119140,3648260,111,2273895,2154755,1.14,0.18,135819.6,44.94,3026912.7,1.14,1.4
2023-10,35,1474,10,350,4643100,4380,153300,4489800,115,3117510,2964210,1.17,0.19,179361.0,46.56,3846074.04,1.17,1.3
2023-11,35,1504,10,350,4737600,4390,153650,4583950,160,2571840,2418190,1.15,0.18,176697.5,64.78,3684040.42,1.15,1.52
2023-12,35,1506,10,350,4743900,4375,153125,4590775,151,2697246,2544121,1.17,0.21,179156.25,61.13,3736187.73,1.17,1.47
2024-01,35,1530,10,350,4819500,5011,175385,4644115,148,2781540,2606155,1.11,0.17,194677.35,59.92,3799724.25,1.11,1.46
2024-02,35,1425,10,350,4488750,5102,178570,4310180,162,2411100,2232530,1.14,0.18,203569.8,65.59,3443988.45,1.14,1.54
2024-03,37,1492,10,370,4968360,5100,188700,4779660,120,3357000,3168300,1.17,0.21,220779.0,48.58,4095248.76,1.17,1.29
2024-04,37,1537,10,370,5118210,4965,183705,4934505,155,2974095,2790390,1.17,0.21,214934.85,62.75,4035254.4,1.17,1.45
2024-05,37,1486,10,370,4948380,4765,176305,4772075,162,2781792,2605487,1.15,0.19,202750.75,65.59,3868428.59,1.15,1.48
2024-06,20,1423,10,200,2561400,4500,90000,2471400,55,1857015,1767015,1.12,0.19,100800.0,22.27,2175388.11,1.12,1.23
2024-07,10,1475,10,100,1327500,4020,40200,1287300,35,862875,822675,1.1,0.17,44220.0,14.17,1095173.25,1.1,1.33
